Title,Year,Rating,IMDB Score,Reelgood Rating Score,Available On
The Mole Agent,2020,,7.7/10,74/100,+ Rent or Buy
It Chapter Two,2019,18+,6.5/10,74/100,+ Rent or Buy
The Thin Red Line,1998,18+,7.6/10,74/100,+ Rent or Buy
The Secret in Their Eyes,2009,18+,8.2/10,74/100,Rent or Buy
Hotel Mumbai,2019,18+,7.6/10,74/100,+ Rent or Buy
My Fair Lady,1964,all,7.8/10,74/100,+ Rent or Buy
The Lovebirds,2020,18+,6.1/10,74/100,
The Cave of the Yellow Dog,2005,all,7.6/10,74/100,
Molly's Game,2017,18+,7.4/10,74/100,Rent or Buy
Flipped,2010,7+,7.7/10,74/100,+ Rent or Buy
The Salton Sea,2002,18+,7.1/10,73/100,Rent or Buy
Falling Down,1993,18+,7.6/10,73/100,Rent or Buy
Infernal Affairs II,2003,,7.3/10,73/100,Rent or Buy
Red Riding: The Year of Our Lord 1974,2009,,7.0/10,73/100,Rent or Buy
The Tunnel,2011,,5.9/10,73/100,Rent or Buy
Finding Neverland,2004,7+,7.7/10,73/100,+ Rent or Buy
Warm Bodies,2013,13+,6.8/10,73/100,+ Rent or Buy
Babel,2006,18+,7.4/10,73/100,+ Rent or Buy
Happy Gilmore,1996,13+,7.0/10,73/100,+ Rent or Buy
Die Hard 2,1990,18+,7.1/10,73/100,+ Rent or Buy
Serpico,1973,18+,7.7/10,73/100,+ Rent or Buy
Bombshell,2019,18+,6.8/10,73/100,+ Rent or Buy
Boyz n the Hood,1991,18+,7.8/10,73/100,Rent or Buy
Loves of a Blonde,1965,,7.6/10,73/100,
Gifted,2017,13+,7.6/10,73/100,Rent or Buy
GoldenEye,1995,13+,7.2/10,73/100,+ Rent or Buy
The Bow,2005,,7.1/10,73/100,
Midnight Run,1988,18+,7.5/10,73/100,+ Rent or Buy
The Time Traveler's Wife,2009,13+,7.1/10,73/100,+ Rent or Buy
Jurassic World: Fallen Kingdom,2018,13+,6.2/10,73/100,Rent or Buy
The Wandering Earth,2019,13+,6.0/10,73/100,
Step Brothers,2008,18+,6.9/10,73/100,Rent or Buy
How to Survive a Plague,2012,,7.6/10,73/100,Rent or Buy
They Live,1988,18+,7.3/10,73/100,+ Rent or Buy
Until the End of the World,1991,18+,6.8/10,73/100,
Somebody Up There Likes Me,1956,,7.5/10,73/100,Rent or Buy
Valerie and Her Week of Wonders,1970,,7.2/10,73/100,+ Rent or Buy
Tig,2015,,7.4/10,73/100,
Do the Right Thing,1989,18+,8.0/10,73/100,+ Rent or Buy
Austin Powers: International Man of Mystery,1997,13+,7.0/10,73/100,+ Rent or Buy
Mrs. Doubtfire,1993,13+,7.0/10,73/100,Rent or Buy
Blue Valentine,2010,18+,7.3/10,73/100,+ Rent or Buy
My Life in Pink,1997,18+,7.6/10,73/100,Rent or Buy
The NeverEnding Story,1984,7+,7.4/10,73/100,Rent or Buy
Cloudy with a Chance of Meatballs,2009,7+,6.9/10,73/100,+ Rent or Buy
Little Evil,2017,18+,5.7/10,73/100,
Gunga Din,1939,,7.3/10,73/100,Rent or Buy
The Railway Children,1970,all,7.3/10,73/100,+ Rent or Buy
Sing Street,2016,13+,7.9/10,73/100,+ Rent or Buy
Aligarh,2016,13+,7.8/10,73/100,Rent or Buy
Ice Age: Dawn of the Dinosaurs,2009,7+,6.9/10,73/100,+ Rent or Buy
The Crimson Rivers,2000,18+,6.9/10,73/100,Rent or Buy
Trixie Mattel: Moving Parts,2019,,7.3/10,73/100,+ Rent or Buy
Sleepy Hollow,1999,18+,7.3/10,73/100,+ Rent or Buy
Trumbo,2015,18+,7.5/10,73/100,+ Rent or Buy
The Witch,2015,18+,6.9/10,73/100,+ Rent or Buy
À Nous la Liberté,1931,,7.5/10,73/100,
Gozu,2003,18+,7.0/10,73/100,
This Is the End,2013,18+,6.6/10,73/100,+ Rent or Buy
Venus in Fur,2013,,7.2/10,73/100,Rent or Buy
I ♥ Huckabees,2004,18+,6.6/10,73/100,Rent or Buy
Uncorked,2020,13+,6.3/10,73/100,
The Princess and the Frog,2009,all,7.1/10,73/100,+ Rent or Buy
The Adjustment Bureau,2011,13+,7.0/10,73/100,+ Rent or Buy
Coffee and Cigarettes,2003,18+,7.1/10,73/100,Rent or Buy
Fail Safe,2000,,7.4/10,73/100,Rent or Buy
Mad Max,1979,18+,6.9/10,73/100,+ Rent or Buy
Paddington,2014,7+,7.2/10,73/100,+ Rent or Buy
JFK,1991,18+,8.0/10,73/100,Rent or Buy
Vice,2018,18+,7.2/10,73/100,+ Rent or Buy
The Weight of Gold,2020,16+,7.0/10,73/100,
Empire of the Sun,1987,7+,7.7/10,73/100,+ Rent or Buy
The Lobster,2015,18+,7.2/10,73/100,+ Rent or Buy
Traffic,2000,18+,7.6/10,73/100,+ Rent or Buy
Ghost,1990,13+,7.1/10,73/100,+ Rent or Buy
Batman Returns,1992,13+,7.0/10,73/100,+ Rent or Buy
Leave No Trace,2018,7+,7.2/10,73/100,+ Rent or Buy
Sanju,2018,18+,7.7/10,73/100,
Theorem,1968,,7.2/10,73/100,+ Rent or Buy
The Last of Sheila,1973,7+,7.3/10,73/100,Rent or Buy
The Photographer of Mauthausen,2018,18+,6.7/10,73/100,
Time,2020,13+,6.8/10,73/100,
Last Days in Vietnam,2014,,7.6/10,73/100,+ Rent or Buy
Angels & Demons,2009,13+,6.7/10,73/100,+ Rent or Buy
Flavors of Youth,2018,13+,6.6/10,73/100,
Mr. Arkadin,1955,7+,7.3/10,73/100,+ Rent or Buy
The Ballad of Cable Hogue,1970,18+,7.2/10,73/100,Rent or Buy
Samsara,2011,13+,8.5/10,73/100,+ Rent or Buy
Night at the Museum,2006,7+,6.4/10,73/100,+ Rent or Buy
High Fidelity,2000,18+,7.5/10,73/100,+ Rent or Buy
Seance on a Wet Afternoon,1964,,7.6/10,73/100,
The Amazing Spider-Man 2,2014,13+,6.6/10,73/100,+ Rent or Buy
Big,1988,7+,7.3/10,73/100,Rent or Buy
Under the Sand,2000,,7.1/10,73/100,+ Rent or Buy
Riders of Justice,2020,18+,7.7/10,73/100,Rent or Buy
The Farewell,2019,7+,7.6/10,73/100,+ Rent or Buy
City on Fire,1987,18+,7.1/10,73/100,
The Killing of a Sacred Deer,2017,18+,7.0/10,73/100,+ Rent or Buy
Kingdom of Heaven,2005,18+,7.2/10,73/100,+ Rent or Buy
56 Up,2012,,8.0/10,73/100,+ Rent or Buy
8½,1963,,8.0/10,73/100,+ Rent or Buy
Inside Llewyn Davis,2013,18+,7.5/10,73/100,+ Rent or Buy
Defiance,2008,18+,7.2/10,73/100,+ Rent or Buy
Evelyn,2019,,7.1/10,73/100,
Escape From Alcatraz,1979,7+,7.6/10,73/100,+ Rent or Buy
Spy,2015,18+,7.0/10,73/100,Rent or Buy
In the Soup,1992,18+,7.1/10,73/100,+ Rent or Buy
The Florida Project,2017,18+,7.6/10,73/100,+ Rent or Buy
Lethal Weapon 2,1989,18+,7.2/10,73/100,+ Rent or Buy
Cinderella Man,2005,13+,8.0/10,73/100,Rent or Buy
A Canterbury Tale,1944,,7.5/10,73/100,+ Rent or Buy
Royal Space Force - The Wings Of Honneamise,1987,13+,7.3/10,73/100,Rent or Buy
Wild Tales,2014,18+,8.1/10,73/100,Rent or Buy
Megamind,2010,7+,7.2/10,73/100,Rent or Buy
Superman,1978,7+,7.3/10,73/100,+ Rent or Buy
Birds of Prey: Harley Quinn,2020,18+,6.1/10,73/100,+ Rent or Buy
The Fate of the Furious,2017,13+,6.6/10,73/100,Rent or Buy
For the Birds,2000,all,8.0/10,73/100,+ Rent or Buy
Legends of the Fall,1994,18+,7.5/10,73/100,+ Rent or Buy
The Equalizer 2,2018,18+,6.7/10,73/100,+ Rent or Buy
The Silent Partner,1978,18+,7.5/10,73/100,+ Rent or Buy
The Last King of Scotland,2006,18+,7.7/10,73/100,+ Rent or Buy
The Place Beyond the Pines,2013,18+,7.3/10,73/100,+ Rent or Buy
Patriots Day,2016,18+,7.4/10,73/100,Rent or Buy
Entre Nous,1983,7+,7.1/10,73/100,
A Christmas Story,1983,7+,7.9/10,73/100,+ Rent or Buy
Bunny Lake Is Missing,1965,,7.3/10,73/100,Rent or Buy
Page Eight,2011,,6.9/10,73/100,Rent or Buy
Underworld,2003,18+,7.0/10,73/100,+ Rent or Buy
In the Name of the Father,1993,18+,8.1/10,73/100,Rent or Buy
Easy A,2010,13+,7.0/10,73/100,Rent or Buy
John Leguizamo's Latin History for Morons,2018,7+,7.5/10,73/100,
The Flowers of St. Francis,1950,,7.4/10,73/100,
Sicario: Day of the Soldado,2018,18+,7.1/10,73/100,+ Rent or Buy
Casque d'Or,1952,,7.7/10,73/100,+ Rent or Buy
Pitfall,1962,,7.6/10,73/100,
West Side Story,1961,7+,7.5/10,73/100,+ Rent or Buy
Uprising,2001,,7.2/10,73/100,Rent or Buy
The Browning Version,1951,,8.2/10,73/100,+ Rent or Buy
Fifty Dead Men Walking,2008,18+,6.9/10,73/100,+ Rent or Buy
Fire,1997,,7.2/10,73/100,Rent or Buy
The Three Caballeros,1944,all,6.4/10,73/100,+ Rent or Buy
My Spy,2020,13+,6.3/10,73/100,
Lemmy,2010,,7.8/10,73/100,Rent or Buy
Kung Fu Hustle,2004,18+,7.7/10,73/100,+ Rent or Buy
Ocean's Thirteen,2007,13+,6.9/10,73/100,+ Rent or Buy
And Breathe Normally,2018,16+,6.9/10,73/100,
Small Change,1976,7+,7.7/10,73/100,
Christmas in Connecticut,1945,,7.4/10,73/100,+ Rent or Buy
The A-Team,2010,13+,6.7/10,73/100,+ Rent or Buy
News of the World,2020,13+,6.8/10,73/100,Rent or Buy
Victoria,2015,,7.6/10,73/100,+ Rent or Buy
That Darn Cat!,1965,all,6.8/10,73/100,
Junebug,2005,18+,6.9/10,73/100,Rent or Buy
Mank,2020,18+,6.9/10,73/100,
With a Friend Like Harry...,2000,18+,7.1/10,73/100,Rent or Buy
Malcolm X,1992,13+,7.7/10,73/100,+ Rent or Buy
Bad Boys for Life,2020,18+,6.6/10,73/100,+ Rent or Buy
Contagion,2011,13+,6.7/10,73/100,+ Rent or Buy
The Kid,1921,,8.3/10,73/100,film+ Rent or Buy
The Virgin Suicides,1999,18+,7.2/10,73/100,+ Rent or Buy
Little Women,1933,,7.2/10,73/100,Rent or Buy
In Which We Serve,1942,,7.2/10,73/100,+ Rent or Buy
The Texas Chain Saw Massacre,1974,18+,7.5/10,73/100,+ Rent or Buy
The Ghost Writer,2010,13+,7.2/10,73/100,+ Rent or Buy
One Hundred and One Dalmatians,1961,all,7.3/10,73/100,+ Rent or Buy
Pale Flower,1964,,7.8/10,73/100,
Queen,2013,13+,8.2/10,73/100,+ Rent or Buy
The Evil Dead,1981,18+,7.5/10,73/100,+ Rent or Buy
The Diary of Anne Frank,1959,,7.4/10,73/100,Rent or Buy
The Filth and the Fury,2000,18+,7.7/10,73/100,Rent or Buy
Legend,2015,18+,6.9/10,73/100,+ Rent or Buy
The Warriors,1979,18+,7.6/10,73/100,+ Rent or Buy
Senna,2010,13+,8.5/10,73/100,Rent or Buy
Caddyshack,1980,18+,7.3/10,73/100,+ Rent or Buy
Advise & Consent,1962,,7.7/10,73/100,Rent or Buy
Presto,2008,all,8.3/10,73/100,+ Rent or Buy
Brother's Keeper,1992,18+,7.5/10,73/100,Rent or Buy
Mud,2013,13+,7.4/10,73/100,Rent or Buy
The Ghazi Attack,2017,7+,7.6/10,73/100,+ Rent or Buy
Miller's Crossing,1990,18+,7.7/10,73/100,+ Rent or Buy
Ender's Game,2013,13+,6.6/10,73/100,+ Rent or Buy
Ready or Not,2019,18+,6.8/10,73/100,+ Rent or Buy
Natural Born Killers,1994,18+,7.3/10,73/100,+ Rent or Buy
The Count of Monte Cristo,2002,13+,7.7/10,73/100,+ Rent or Buy
Project X,2012,18+,6.6/10,73/100,+ Rent or Buy
Dangerous Beauty,1998,18+,7.2/10,73/100,Rent or Buy
Jacob's Ladder,1990,18+,7.5/10,73/100,+ Rent or Buy
On the Record,2020,,7.2/10,73/100,
The White Tiger,2021,18+,7.1/10,73/100,
Sleepers,1996,18+,7.6/10,73/100,Rent or Buy
Everlasting Moments,2008,,7.5/10,73/100,+ Rent or Buy
Lady and the Tramp,1955,all,7.3/10,73/100,+ Rent or Buy
The Enchanted Cottage,1945,,7.5/10,73/100,
Scener ur ett äktenskap,1973,7+,8.5/10,73/100,+ Rent or Buy
Battleground,1949,,7.5/10,73/100,Rent or Buy
Code Unknown,2000,,7.2/10,73/100,+ Rent or Buy
The Italian Job,2003,13+,7.0/10,73/100,Rent or Buy
Black Book,2006,18+,7.7/10,73/100,+ Rent or Buy
Now You See Me 2,2016,13+,6.5/10,73/100,+ Rent or Buy
The Hedgehog,2009,,7.4/10,73/100,Rent or Buy
The Expendables,2010,18+,6.5/10,73/100,+ Rent or Buy
First Man,2018,13+,7.3/10,73/100,Rent or Buy
Tramps,2016,,6.5/10,73/100,
Clockers,1995,18+,6.9/10,73/100,Rent or Buy
Les Vampires,1915,,7.3/10,73/100,
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,16+,7.1/10,73/100,
Katyn,2007,,7.0/10,73/100,Rent or Buy
A Sunday in the Country,1984,all,7.6/10,73/100,+ Rent or Buy
The Stepford Wives,1975,7+,6.9/10,73/100,
House of Usher,1960,,7.0/10,73/100,Rent or Buy
Elysium,2013,18+,6.6/10,73/100,+ Rent or Buy
Northwest Passage,1940,,7.1/10,73/100,+ Rent or Buy
Scream for Me Sarajevo,2018,,8.9/10,73/100,Rent or Buy
Patton Oswalt: Annihilation,2017,,7.2/10,73/100,
The Upside,2019,13+,7.0/10,73/100,+ Rent or Buy
Thelma & Louise,1991,18+,7.5/10,73/100,+ Rent or Buy
Munich,2005,18+,7.5/10,73/100,+ Rent or Buy
Fantasia,1940,all,7.7/10,73/100,+ Rent or Buy
Rushmore,1998,18+,7.7/10,73/100,Rent or Buy
Murder Mystery,2019,13+,6.0/10,73/100,
The Night of the Hunter,1955,,8.0/10,73/100,+ Rent or Buy
My Afternoons with Margueritte,2010,,7.2/10,73/100,+ Rent or Buy
Green Zone,2010,18+,6.8/10,73/100,+ Rent or Buy
Once,2007,18+,7.8/10,73/100,+ Rent or Buy
Tarnation,2003,,7.1/10,73/100,
Star Trek: First Contact,1996,13+,7.6/10,73/100,+ Rent or Buy
We Were Soldiers,2002,18+,7.2/10,73/100,+ Rent or Buy
Crimson Peak,2015,18+,6.5/10,73/100,+ Rent or Buy
Meet Joe Black,1998,13+,7.2/10,73/100,+ Rent or Buy
Hands on a Hardbody: The Documentary,1997,7+,7.6/10,73/100,+ Rent or Buy
The Bucket List,2007,13+,7.4/10,73/100,+ Rent or Buy
Highlander,1986,18+,7.1/10,73/100,cont+ Rent or Buy
Men in Black 3,2012,13+,6.8/10,73/100,+ Rent or Buy
The Private Life of Sherlock Holmes,1970,13+,7.1/10,73/100,Rent or Buy
The Bank Job,2008,18+,7.2/10,73/100,+ Rent or Buy
Awakenings,1990,13+,7.8/10,73/100,+ Rent or Buy
White Fang,2018,7+,7.0/10,73/100,
Mr. & Mrs. Smith,2005,13+,6.5/10,73/100,+ Rent or Buy
Army of Darkness,1992,18+,7.5/10,73/100,+ Rent or Buy
The 400 Blows,1959,,8.1/10,73/100,+ Rent or Buy
Sling Blade,1996,18+,8.0/10,73/100,+ Rent or Buy
Heaven Can Wait,1943,,7.5/10,73/100,Rent or Buy
Trading Places,1983,18+,7.5/10,73/100,+ Rent or Buy
Danton,1982,7+,7.5/10,73/100,
Mothra vs. Godzilla,1964,,6.6/10,73/100,+ Rent or Buy
Intimacy,2001,18+,6.1/10,73/100,+ Rent or Buy
Just Mercy,2019,13+,7.6/10,73/100,+ Rent or Buy
Sunshine,2007,18+,7.2/10,73/100,Rent or Buy
More Than Honey,2012,,7.6/10,73/100,+ Rent or Buy
Evil Dead II,1987,18+,7.7/10,73/100,+ Rent or Buy
Born in China,2016,all,7.2/10,73/100,+ Rent or Buy
Adam,2009,13+,7.2/10,73/100,Rent or Buy
The Passion of the Christ,2004,18+,7.2/10,73/100,+ Rent or Buy
The Way Back,2010,13+,7.3/10,73/100,+ Rent or Buy
All About My Mother,1999,18+,7.9/10,73/100,+ Rent or Buy
Dark City,1998,18+,7.6/10,73/100,Rent or Buy
Ravenous,2017,18+,5.9/10,73/100,
Animal Farm,1954,all,7.2/10,73/100,+ Rent or Buy
Unstoppable,2010,13+,6.8/10,73/100,+ Rent or Buy
The Admiral: Roaring Currents,2014,,7.1/10,73/100,Rent or Buy
Treasure Planet,2002,7+,7.2/10,73/100,+ Rent or Buy
Heartbeats,2010,,7.1/10,73/100,Rent or Buy
The Dig,2021,13+,7.1/10,73/100,
Eastern Boys,2013,,6.9/10,73/100,+ Rent or Buy
The Americanization of Emily,1964,,7.3/10,73/100,Rent or Buy
Chronicle,2012,13+,7.0/10,73/100,Rent or Buy
Tom at the Farm,2014,,7.0/10,73/100,+ Rent or Buy
Knocked Up,2007,18+,6.9/10,73/100,Rent or Buy
The Night of the Iguana,1964,,7.6/10,73/100,Rent or Buy
Four Weddings and a Funeral,1994,18+,7.1/10,73/100,+ Rent or Buy
Three Kings,1999,18+,7.1/10,73/100,+ Rent or Buy
The Boys of St. Vincent,1992,,7.6/10,73/100,+ Rent or Buy
[REC],2007,18+,7.4/10,73/100,Rent or Buy
Even Dwarfs Started Small,1970,,6.9/10,73/100,+ Rent or Buy
Hard Candy,2005,18+,7.1/10,73/100,+ Rent or Buy
Won't You Be My Neighbor?,2018,13+,8.4/10,73/100,+ Rent or Buy
Mughal-e-Azam,1960,18+,8.2/10,73/100,Rent or Buy
Snowtown,2011,,6.6/10,73/100,Rent or Buy
The Crimson Pirate,1952,7+,7.3/10,73/100,Rent or Buy
The Devil We Know,2018,,7.7/10,73/100,Rent or Buy
Poltergeist,1982,7+,7.3/10,73/100,+ Rent or Buy
Rocky II,1979,7+,7.3/10,73/100,+ Rent or Buy
The White Balloon,1995,,7.7/10,73/100,
Dark Skies,2013,16+,6.3/10,73/100,+ Rent or Buy
Clue,1985,7+,7.3/10,73/100,+ Rent or Buy
Erin Brockovich,2000,18+,7.4/10,73/100,+ Rent or Buy
Kannathil Muthamittal,2002,,8.4/10,73/100,Rent or Buy
TRON: Legacy,2010,7+,6.8/10,73/100,Rent or Buy
In the Company of Men,1997,18+,7.2/10,73/100,Rent or Buy
The Meaning of Life,1983,18+,7.5/10,73/100,+ Rent or Buy
The Three Faces of Eve,1957,all,7.2/10,73/100,Rent or Buy
A Bronx Tale,1993,18+,7.8/10,73/100,Rent or Buy
Urban Cowboy,1980,7+,6.4/10,73/100,Rent or Buy
Pandorum,2009,18+,6.7/10,73/100,+ Rent or Buy
Destiny,1921,,7.7/10,73/100,+ Rent or Buy
Pooh's Heffalump Movie,2005,all,6.4/10,73/100,+ Rent or Buy
Detachment,2011,,7.7/10,73/100,+ Rent or Buy
Steve Jobs,2015,18+,7.2/10,73/100,+ Rent or Buy
Ray,2004,16+,7.7/10,73/100,+ Rent or Buy
Maze Runner: The Death Cure,2018,13+,6.3/10,73/100,+ Rent or Buy
High Noon,1952,7+,8.0/10,73/100,+ Rent or Buy
Niagara,1953,,7.0/10,73/100,Rent or Buy
Hellboy,2004,13+,6.8/10,73/100,+ Rent or Buy
Cruel Intentions,1999,18+,6.8/10,73/100,+ Rent or Buy
Triumph of the Will,1935,,7.3/10,73/100,Rent or Buy
IMAX Hubble,2010,all,7.7/10,73/100,Rent or Buy
Alien: Covenant,2017,18+,6.4/10,73/100,+ Rent or Buy
Unconditional,2012,13+,7.2/10,73/100,Rent or Buy
Enter the Dragon,1973,18+,7.7/10,73/100,+ Rent or Buy
Philomena,2013,13+,7.6/10,73/100,+ Rent or Buy
Only the Dead,2015,18+,7.7/10,73/100,Rent or Buy
Hannibal,2001,18+,6.8/10,73/100,+ Rent or Buy
David Bowie: The Last Five Years,2017,16+,7.5/10,73/100,
Dr. No,1962,7+,7.2/10,73/100,+ Rent or Buy
Fracture,2007,18+,7.2/10,73/100,+ Rent or Buy
Frances,1982,18+,7.3/10,73/100,+ Rent or Buy
Strong Island,2017,,6.4/10,73/100,
Blackfish,2013,13+,8.1/10,73/100,dox+ Rent or Buy
Gandhi,1982,7+,8.0/10,73/100,Rent or Buy
Shoplifters,2018,18+,7.9/10,73/100,+ Rent or Buy
True Stories,1986,7+,7.2/10,73/100,Rent or Buy
Damage,1992,18+,6.8/10,73/100,Rent or Buy
Kramer vs. Kramer,1979,7+,7.8/10,73/100,+ Rent or Buy
The Birds,1963,13+,7.7/10,73/100,Rent or Buy
Desperado,1995,18+,7.2/10,73/100,+ Rent or Buy
Children Underground,2001,,8.3/10,73/100,Rent or Buy
Cemetery Man,1994,18+,7.2/10,73/100,Rent or Buy
Sinister,2012,18+,6.8/10,73/100,+ Rent or Buy
Pinocchio,1940,all,7.4/10,73/100,+ Rent or Buy
The Angel,2018,18+,6.6/10,73/100,
The Proposal,2009,13+,6.7/10,73/100,+ Rent or Buy
Trilogy of Terror,1975,,6.6/10,73/100,
American Made,2017,18+,7.2/10,73/100,+ Rent or Buy
8 Mile,2002,18+,7.1/10,73/100,+ Rent or Buy
Sideways,2004,18+,7.5/10,73/100,Rent or Buy
It Happened One Night,1934,,8.1/10,73/100,Rent or Buy
Bad Boys,1995,18+,6.9/10,73/100,+ Rent or Buy
Nymphomaniac: Vol. I,2013,18+,6.9/10,73/100,+ Rent or Buy
42,2013,13+,7.5/10,73/100,+ Rent or Buy
Wanda,1971,7+,7.1/10,73/100,+ Rent or Buy
Blue Is the Warmest Color,2013,18+,7.7/10,73/100,Rent or Buy
Alice in Wonderland,2010,7+,6.4/10,73/100,+ Rent or Buy
Alien³,1992,18+,6.5/10,73/100,+ Rent or Buy
Funny Games,2007,18+,6.6/10,73/100,Rent or Buy
Bobby Fischer Against the World,2011,7+,7.4/10,72/100,Rent or Buy
Harold & Kumar Go to White Castle,2004,18+,7.1/10,72/100,+ Rent or Buy
Escape from New York,1981,18+,7.2/10,72/100,+ Rent or Buy
Bill & Ted's Excellent Adventure,1989,7+,7.0/10,72/100,+ Rent or Buy
Olympus Has Fallen,2013,18+,6.5/10,72/100,+ Rent or Buy
Richard III,1955,,7.5/10,72/100,+ Rent or Buy
13 Hours: The Secret Soldiers of Benghazi,2016,18+,7.3/10,72/100,Rent or Buy
Les Misérables,1935,,7.7/10,72/100,Rent or Buy
Just Another Love Story,2007,,7.2/10,72/100,+ Rent or Buy
On the Waterfront,1954,7+,8.1/10,72/100,Rent or Buy
Triangle,2009,18+,6.9/10,72/100,+ Rent or Buy
Without Limits,1998,13+,7.2/10,72/100,Rent or Buy
Chungking Express,1994,13+,8.1/10,72/100,
Hamlet,1990,7+,6.7/10,72/100,Rent or Buy
Blue Jasmine,2013,13+,7.3/10,72/100,+ Rent or Buy
Terminator: Dark Fate,2019,18+,6.2/10,72/100,+ Rent or Buy
Midnight Lace,1960,,6.8/10,72/100,
Frosty the Snowman,1969,all,7.3/10,72/100,Rent or Buy
Bambi,1942,all,7.3/10,72/100,+ Rent or Buy
A Woman's Face,1941,,7.2/10,72/100,Rent or Buy
May God Save Us,2016,18+,7.1/10,72/100,Rent or Buy
6 Underground,2019,18+,6.1/10,72/100,
Tinker Tailor Soldier Spy,2011,18+,7.1/10,72/100,+ Rent or Buy
Beware of Mr. Baker,2012,,7.6/10,72/100,Rent or Buy
Chicago,2002,13+,7.2/10,72/100,+ Rent or Buy
Thank You for Smoking,2006,18+,7.6/10,72/100,+ Rent or Buy
Emma.,2020,7+,6.7/10,72/100,+ Rent or Buy
A Knight's Tale,2001,13+,6.9/10,72/100,+ Rent or Buy
Crank,2006,18+,6.9/10,72/100,+ Rent or Buy
Salt,2010,13+,6.4/10,72/100,+ Rent or Buy
Dear Zachary: A Letter to a Son About His Father,2008,,8.5/10,72/100,+ Rent or Buy
My Winnipeg,2007,,7.6/10,72/100,+ Rent or Buy
This Magnificent Cake!,2018,,7.2/10,72/100,
Spartacus,1960,13+,7.9/10,72/100,+ Rent or Buy
"Bikram: Yogi, Guru, Predator",2019,18+,6.7/10,72/100,
Peter Pan,1953,all,7.3/10,72/100,+ Rent or Buy
Joan Didion: The Center Will Not Hold,2017,,7.4/10,72/100,
Ai Weiwei: Never Sorry,2012,18+,7.6/10,72/100,Rent or Buy
Enchanted,2007,7+,7.0/10,72/100,Rent or Buy
Johnny Belinda,1948,,7.8/10,72/100,Rent or Buy
The Land Before Time,1988,all,7.4/10,72/100,+ Rent or Buy
Ocean's Twelve,2004,13+,6.5/10,72/100,+ Rent or Buy
Charade,1963,13+,7.9/10,72/100,secr+ Rent or Buy
Den of Thieves,2018,18+,7.0/10,72/100,Rent or Buy
Angel Has Fallen,2019,18+,6.4/10,72/100,+ Rent or Buy
Dead Ringer,1964,18+,7.3/10,72/100,Rent or Buy
They Were Expendable,1945,,7.2/10,72/100,Rent or Buy
The King of Staten Island,2020,18+,7.1/10,72/100,+ Rent or Buy
The Hobbit,1977,7+,6.8/10,72/100,Rent or Buy
Black Mirror: Bandersnatch,2018,18+,7.2/10,72/100,
Deepwater Horizon,2016,13+,7.1/10,72/100,Rent or Buy
Patton,1970,7+,7.9/10,72/100,+ Rent or Buy
Climax,2018,18+,7.0/10,72/100,+ Rent or Buy
Bolt,2008,7+,6.8/10,72/100,+ Rent or Buy
The Wolverine,2013,13+,6.7/10,72/100,+ Rent or Buy
The Prisoner of Zenda,1937,,7.7/10,72/100,Rent or Buy
Rise of the Guardians,2012,7+,7.3/10,72/100,Rent or Buy
Avalon,2001,18+,6.5/10,72/100,
The Crucible,1996,13+,6.8/10,72/100,Rent or Buy
Raising Arizona,1987,13+,7.3/10,72/100,+ Rent or Buy
Horrible Bosses,2011,18+,6.8/10,72/100,+ Rent or Buy
Mr. Smith Goes to Washington,1939,,8.1/10,72/100,+ Rent or Buy
Witchfinder General,1968,,6.8/10,72/100,Rent or Buy
The Wailing,2016,18+,7.4/10,72/100,hiya+ Rent or Buy
Troll Hunter,2010,13+,7.0/10,72/100,+ Rent or Buy
Life,2017,18+,6.6/10,72/100,+ Rent or Buy
Mamma Mia!,2008,13+,6.4/10,72/100,+ Rent or Buy
Trafic,1971,all,7.1/10,72/100,+ Rent or Buy
Michael Jackson's Journey from Motown to Off the Wall,2016,,7.4/10,72/100,Rent or Buy
Billy Elliot,2000,13+,7.7/10,72/100,+ Rent or Buy
"Girl, Interrupted",1999,18+,7.3/10,72/100,+ Rent or Buy
Heathers,1989,18+,7.2/10,72/100,+ Rent or Buy
"Extremely Wicked, Shockingly Evil and Vile",2019,18+,6.7/10,72/100,
The Boys: The Sherman Brothers' Story,2009,7+,7.8/10,72/100,+ Rent or Buy
The Salvation,2014,18+,6.7/10,72/100,Rent or Buy
Carol,2015,18+,7.2/10,72/100,+ Rent or Buy
Jason Bourne,2016,13+,6.6/10,72/100,Rent or Buy
A League of Their Own,1992,7+,7.3/10,72/100,+ Rent or Buy
Carrie,1976,18+,7.4/10,72/100,+ Rent or Buy
Incident at Oglala,1992,7+,7.5/10,72/100,+ Rent or Buy
Ghost in the Shell,2017,13+,6.3/10,72/100,Rent or Buy
The Assassination of Jesse James by the Coward Robert Ford,2007,18+,7.5/10,72/100,+ Rent or Buy
Invictus,2009,13+,7.3/10,72/100,+ Rent or Buy
Bajirao Mastani,2015,all,7.2/10,72/100,Rent or Buy
Memoirs of a Geisha,2005,13+,7.3/10,72/100,+ Rent or Buy
A Streetcar Named Desire,1951,7+,8.0/10,72/100,+ Rent or Buy
Bonnie and Clyde,1967,18+,7.8/10,72/100,+ Rent or Buy
Winnebago Man,2010,18+,7.2/10,72/100,+ Rent or Buy
October Sky,1999,7+,7.8/10,72/100,+ Rent or Buy
