Title,Year,Rating,IMDB Score,Reelgood Rating Score,Available On
Open Hearts,2002,18+,7.5/10,82/100,
Spotlight,2015,18+,8.1/10,82/100,+ Rent or Buy
The Hunchback of Notre Dame,1996,all,6.9/10,82/100,+ Rent or Buy
Orpheus,1950,,8.0/10,82/100,+ Rent or Buy
Gimme Shelter,1970,18+,7.9/10,82/100,+ Rent or Buy
Into the Wild,2007,18+,8.1/10,81/100,+ Rent or Buy
The Death of Mr. Lazarescu,2005,18+,7.9/10,81/100,+ Rent or Buy
Crumb,1994,18+,8.0/10,81/100,Rent or Buy
Fireworks,1997,18+,7.8/10,81/100,+ Rent or Buy
Guardians of the Galaxy Vol. 2,2017,13+,7.6/10,81/100,+ Rent or Buy
Twin Peaks: Fire Walk with Me,1992,18+,7.3/10,81/100,+ Rent or Buy
World of Tomorrow,2015,all,8.1/10,81/100,Rent or Buy
Winnie the Pooh,2011,all,7.2/10,81/100,+ Rent or Buy
Life Is Beautiful,1997,13+,8.6/10,81/100,+ Rent or Buy
Captain Blood,1935,,7.7/10,81/100,+ Rent or Buy
The Sacrifice,1986,7+,8.1/10,81/100,+ Rent or Buy
The White Helmets,2016,16+,7.5/10,81/100,
Donnie Darko,2001,18+,8.0/10,81/100,+ Rent or Buy
American Beauty,1999,18+,8.3/10,81/100,Rent or Buy
Over the Moon,2020,7+,6.4/10,81/100,
My Name Is Khan,2010,13+,8.0/10,81/100,Rent or Buy
Man Bites Dog,1992,18+,7.5/10,81/100,+ Rent or Buy
Kal Ho Naa Ho,2003,all,7.9/10,81/100,+ Rent or Buy
Where Is My Friend's House?,1987,,8.1/10,81/100,
My Night at Maud's,1969,7+,7.9/10,81/100,+ Rent or Buy
Doctor Strange,2016,13+,7.5/10,81/100,+ Rent or Buy
Batman: Year One,2011,13+,7.4/10,81/100,+ Rent or Buy
The Meyerowitz Stories (New and Selected),2017,18+,6.9/10,81/100,
Häxan,1922,,7.7/10,81/100,+ Rent or Buy
X-Men: Days of Future Past,2014,13+,7.9/10,81/100,+ Rent or Buy
Nobody Knows,2004,13+,8.1/10,81/100,Rent or Buy
Ratatouille,2007,all,8.0/10,81/100,+ Rent or Buy
Casino Royale,2006,13+,8.0/10,81/100,+ Rent or Buy
Close-Up,1990,,8.3/10,81/100,+ Rent or Buy
Suspicion,1941,,7.4/10,81/100,+ Rent or Buy
Bohemian Rhapsody,2018,13+,7.9/10,81/100,Rent or Buy
The Life Ahead,2020,13+,6.8/10,81/100,
The Big Lebowski,1998,18+,8.1/10,81/100,+ Rent or Buy
Taxi Driver,1976,18+,8.3/10,81/100,+ Rent or Buy
The Asphalt Jungle,1950,,7.9/10,81/100,Rent or Buy
The Shop on Main Street,1965,7+,8.3/10,81/100,
The Long Good Friday,1980,18+,7.6/10,81/100,+ Rent or Buy
Her,2013,18+,8.0/10,81/100,+ Rent or Buy
Matchstick Men,2003,13+,7.3/10,81/100,Rent or Buy
Mr. Holland's Opus,1995,7+,7.3/10,81/100,+ Rent or Buy
Ford v Ferrari,2019,13+,8.1/10,81/100,+ Rent or Buy
The Sweet Hereafter,1997,18+,7.5/10,81/100,+ Rent or Buy
The Piano Teacher,2001,18+,7.5/10,81/100,+ Rent or Buy
Samurai Rebellion,1967,all,8.4/10,81/100,
The Hateful Eight,2015,18+,7.8/10,81/100,+ Rent or Buy
The Aristocats,1970,all,7.1/10,81/100,+ Rent or Buy
Kapoor & Sons,2016,13+,7.7/10,81/100,+ Rent or Buy
The Revenant,2015,18+,8.0/10,81/100,+ Rent or Buy
The Princess Bride,1987,7+,8.1/10,81/100,+ Rent or Buy
The Chorus,2004,7+,7.9/10,81/100,Rent or Buy
Taste of Cherry,1997,,7.7/10,81/100,
Amélie,2001,18+,8.3/10,81/100,+ Rent or Buy
Da 5 Bloods,2020,18+,6.5/10,81/100,
Fanaa,2006,7+,7.2/10,81/100,+ Rent or Buy
Sultan,2016,,7.0/10,81/100,+ Rent or Buy
