,,Title,,Year,Rating,,,Available On,,
37,,Psych,TV,2006,7+,8.3/10,85/100,+ Rent or Buy,120 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
38,,Black Mirror,TV,2011,18+,8.8/10,93/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
39,,The Good Place,TV,2016,16+,8.2/10,87/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
40,,Harley Quinn,TV,2019,18+,8.5/10,80/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
41,,From Cradle to Stage,TV,2021,N/A,N/A,52/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
42,,Alone,TV,2015,16+,8.4/10,73/100,+ Rent or Buy,78 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
43,,Band of Brothers,TV,2001,18+,9.4/10,93/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
44,,Scrubs,TV,2001,16+,8.3/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
45,,Heartland,TV,2007,7+,8.4/10,76/100,doveupfa+ Rent or Buy,204 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
46,,The Golden Girls,TV,1985,7+,7.9/10,72/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
47,,Bosch,TV,2014,18+,8.4/10,83/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
48,,NCIS: New Orleans,TV,2014,16+,6.8/10,67/100,+ Rent or Buy,6 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
49,,Star Trek: Discovery,TV,2017,16+,7.2/10,78/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
0,,12 Monkeys,TV,2015,16+,7.7/10,81/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
1,,Battlestar Galactica,TV,2003,16+,8.6/10,71/100,,2 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
2,,Top Chef,TV,2006,16+,7.6/10,69/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
3,,Futurama,TV,1999,16+,8.4/10,88/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
